rank_ig,gene_idx,gene_name,ig_importance,old_rank_by_degree_product,mirna_deg,drug_deg,old_bridge_score
1,5371,HSF1,7.056799411773682,7210,2,22,44
2,1551,CASP3,5.112381935119629,27,32,102,3264
3,9896,RARG,3.964545726776123,6244,6,10,60
4,1170,BCL2,3.8867108821868896,9,66,86,5676
5,3395,EDN1,3.7850546836853027,85,44,33,1452
6,3420,EFEMP1,3.6121537685394287,9093,1,23,23
7,6812,MAPK1,3.2224621772766113,3,116,75,8700
8,2789,CYP3A4,3.0242056846618652,5964,1,67,67
9,1132,BAX,2.9382598400115967,147,15,75,1125
10,423,AKT1,2.89973783493042,16,62,73,4526
11,464,ALK,2.8149642944335938,9799,2,9,18
12,6818,MAPK3,2.783243179321289,853,6,74,444
13,6898,MCL1,2.6864542961120605,25,75,44,3300
14,1172,BCL2L1,2.324445962905884,8,101,57,5757
15,9623,PTGS2,2.235999822616577,209,18,54,972
16,1558,CASP9,2.2177577018737793,843,7,64,448
17,10043,RELA,2.19950532913208,78,26,58,1508
18,8495,PARP1,2.151569366455078,15,57,80,4560
19,1556,CASP8,2.1472463607788086,45,32,69,2208
20,1729,CCND1,2.042532444000244,2,170,64,10880
