rank_shap,gene_idx,gene_name,shap_importance,mirna_deg,drug_deg
1,5371,HSF1,7.15811824798584,2,22
2,1551,CASP3,5.142177104949951,32,102
3,9896,RARG,3.9444828033447266,6,10
4,1170,BCL2,3.883403778076172,66,86
5,3395,EDN1,3.7836780548095703,44,33
6,3420,EFEMP1,3.5890748500823975,1,23
7,6812,MAPK1,3.2255916595458984,116,75
8,2789,CYP3A4,3.0355443954467773,1,67
9,1132,BAX,2.9358057975769043,15,75
10,423,AKT1,2.9157004356384277,62,73
11,464,ALK,2.798081398010254,2,9
12,6818,MAPK3,2.778167963027954,6,74
13,6898,MCL1,2.7062315940856934,75,44
14,1172,BCL2L1,2.323415517807007,101,57
15,9623,PTGS2,2.260523796081543,18,54
16,1558,CASP9,2.2183239459991455,7,64
17,10043,RELA,2.2094192504882812,26,58
18,8495,PARP1,2.1623659133911133,57,80
19,1556,CASP8,2.14013409614563,32,69
20,1729,CCND1,2.0409929752349854,170,64
